employee_id,name,phone_number,job_role,location,salary,reports_to
17570,Sharon George,639-454-9484,Manager,Chicago,133045.56,15752
97218,Leslie Greene,555-776-6218,Manager,Remote,116797.88,58466
29278,James Morales,483-524-3591,Manager,San Francisco,166805.37,86103
51784,Pamela Mcknight,918-590-5397,Manager,San Francisco,157544.74,36538
89489,Andrea Mclaughlin,361-570-2300,Manager,Chicago,146571.76,58466
62353,Aaron Martinez,239-680-1386,Manager,Remote,130614.08,36401
97579,Michael Davis,857-308-3132,Manager,Austin,122364.22,40982
25440,Michael Wilkinson,991-578-7419,Manager,Remote,140545.77,58466
14262,Julie Mccall,587-312-2822,Manager,Remote,123517.45,43106
66954,David Knight,903-533-9468,Manager,Remote,125834.65,77257
35737,Christine Allen,922-614-3731,Manager,Remote,121120.71,66564
28596,Arthur Cole,977-668-9351,Manager,Remote,130936.42,12804
55864,Joseph Schaefer,485-589-4203,Manager,Austin,121535.13,59541
53818,Joseph Peck,485-822-3887,Manager,Remote,119389.28,15752
12801,Molly Ellis,662-656-3109,Manager,New York,152542.49,86103
17452,Lisa Adams,824-212-4897,Manager,Remote,129413.37,77257
71238,Leslie Howell,317-880-9805,Manager,San Francisco,145949.98,36401
18653,Michael Williams,316-437-4779,Manager,Austin,119339.38,58466
35384,Taylor Fox,692-477-8401,Manager,New York,158765.71,12804
89649,Theresa Underwood,944-986-3325,Manager,Chicago,134568.15,12870
94691,Paul Gomez,859-970-2399,Manager,San Francisco,161644.72,61258
82245,Matthew Gates,999-627-8477,Manager,New York,155754.84,88222
81754,Jordan Obrien,296-262-1863,Manager,New York,149325.35,21080
94394,Timothy Wong,653-273-5845,Software Engineer,Austin,113414.53,75081
41140,Misty Morrison,723-222-7255,Software Engineer,New York,110474.86,28655
95055,Joseph Carlson,780-684-4750,Software Engineer,Remote,108205.08,38995
41411,Daryl Morales,343-978-3441,Software Engineer,Chicago,102784.74,64654
45810,Austin Wheeler,498-735-2776,Software Engineer,New York,124062.57,22112
71888,Gregory Lawrence,540-507-9945,Software Engineer,Remote,116510.89,53818
55433,William Moss MD,273-520-5138,Software Engineer,New York,120818.83,59119
87322,Daniel Kelley,630-782-5615,Software Engineer,Austin,109370.63,64580
88368,Tyrone English,492-225-9273,Software Engineer,Remote,90661.67,46670
96933,Taylor Byrd,714-508-9632,Software Engineer,New York,123869.13,61175
96792,Krista Chang,928-985-4323,Software Engineer,Chicago,117408.57,29278
38564,Adam Barron,734-364-8763,Software Engineer,Austin,91477.16,81677
22423,Matthew Clark,973-346-6817,Software Engineer,Remote,115569.27,97218
78489,Kevin Robinson,879-574-6571,Software Engineer,New York,129057.26,89649
42012,Derek Johnson,904-901-9407,Software Engineer,San Francisco,141512.78,51784
81619,Kevin Hartman,770-784-2164,Software Engineer,San Francisco,137693.55,96051
74649,Joshua Serrano,752-811-1778,Software Engineer,Remote,99784.36,81677
80805,Maria Zhang,671-653-2975,Software Engineer,Remote,109747.3,66609
96410,Robert Gonzalez,640-967-7330,Software Engineer,New York,127315.79,11325
79105,Angela Williams,243-247-7487,Software Engineer,New York,129102.95,13406
17475,Donald Harvey,950-633-1856,Software Engineer,San Francisco,127790.19,98132
11168,Patricia Booker,987-745-3155,Software Engineer,Austin,122287.17,41622
84260,James Williams,412-533-6490,Software Engineer,New York,123811.83,71238
57396,Rhonda Esparza,548-432-1891,Software Engineer,Austin,111811.49,64580
76309,Edward Park,349-870-6056,Software Engineer,San Francisco,122639.13,81754
21328,Michaela Davis,665-800-2722,Software Engineer,Chicago,118707.87,55864
66268,Ashley Dalton,542-657-2874,Software Engineer,Austin,97281.94,29074
22970,James Weber,556-404-4713,Software Engineer,Chicago,109115.47,66954
99260,Carolyn Morris,626-236-3818,Software Engineer,San Francisco,128824.87,88606
44999,Jennifer Hurley,747-687-3359,Software Engineer,Chicago,109495.93,54213
71966,Matthew Chambers,780-451-7113,Software Engineer,Austin,129838.78,14262
68239,Tanya Garcia,476-606-3734,Software Engineer,Chicago,126597.73,61653
68172,Kayla Romero,205-571-9539,Software Engineer,Austin,96287.39,98132
53019,Cynthia Ward,252-580-1831,Software Engineer,Remote,100832.17,54213
11813,Bridget Matthews,370-353-1756,Software Engineer,Remote,115991.15,51784
64181,Ann Gibbs,631-722-4243,Software Engineer,Austin,120775.84,64654
12682,William Ramsey,977-526-9126,Software Engineer,San Francisco,126269.43,29074
18552,Jessica Robertson,834-265-4408,Software Engineer,Austin,118009.54,81754
49177,Robin Kerr,447-697-2804,Software Engineer,San Francisco,142567.95,26102
38588,Reginald Mcintosh,233-247-6266,Software Engineer,Remote,92857.55,11335
69338,Elizabeth Pope,703-526-1252,Software Engineer,New York,125293.93,54767
16128,Curtis Day,962-248-7329,Software Engineer,Austin,111885.47,81754
36451,Angela Klein,803-709-2891,Software Engineer,Austin,114448.51,12801
37930,Valerie Nelson,566-608-1777,Software Engineer,New York,133709.43,99539
36477,Roberto Edwards,697-786-3227,Software Engineer,San Francisco,142397.67,71198
14878,David Alvarez,267-788-8363,Software Engineer,New York,128552.62,99361
84244,Michelle Durham,259-233-7408,Software Engineer,San Francisco,118165.93,71238
30109,Richard Ashley,640-906-4738,Software Engineer,Remote,103230.02,68626
88702,Katie Blackwell,311-541-1567,Software Engineer,New York,122295.03,35548
77824,Selena Ingram,772-781-9219,Software Engineer,New York,115359.41,26102
74145,Angela Robinson,522-768-8357,Software Engineer,Chicago,136349.07,30268
69786,Tiffany Cannon,506-527-1517,Software Engineer,Remote,114290.92,26360
48387,Ricky Dyer,732-240-2647,Software Engineer,Remote,112206.49,69751
23749,Tracy Bartlett,539-208-5074,Software Engineer,Chicago,116541.92,88606
20455,Matthew Hansen,527-778-1751,Software Engineer,Remote,114289.29,65047
34769,Caitlin Bryant,429-310-8976,Software Engineer,New York,119774.44,81754
96281,Regina Kline,469-749-6216,Software Engineer,Chicago,118132.81,38995
13734,Vernon Rodriguez,593-883-2982,Software Engineer,San Francisco,132249.48,22364
51380,Kristin Jackson,608-780-1685,Software Engineer,New York,140132.87,23076
43499,Ronald Jackson,640-991-2700,Software Engineer,San Francisco,135221.76,14030
38440,Jessica Campbell,250-469-6455,Software Engineer,New York,128036.36,29278
37634,Robert Morris,254-284-9225,Software Engineer,New York,112341.0,81527
46922,William Rivers,909-692-3550,Software Engineer,San Francisco,137647.89,26162
40607,Nicole Walton,887-727-5685,Software Engineer,New York,121985.34,75081
73116,Christine Aguilar,549-950-4752,Software Engineer,Austin,108934.96,16837
91011,Brent Brown,261-710-3123,Software Engineer,Remote,86579.49,26162
39033,Albert Pearson,918-964-4708,Software Engineer,Remote,105716.77,12801
15609,Albert Brown,422-943-5899,Software Engineer,Chicago,119942.53,18653
85665,Stephanie West,331-774-5052,Software Engineer,New York,110967.67,88220
87513,Richard Houston,407-398-2227,Software Engineer,San Francisco,134901.46,17570
35131,Jesus Barron,838-216-9176,Software Engineer,Austin,120134.37,64654
24023,Kimberly Kelly,416-593-5961,Software Engineer,San Francisco,144842.05,29074
19107,Amber Dudley,788-451-1710,Software Engineer,New York,118012.0,95233
85906,Derek Rogers,822-248-3809,Software Engineer,San Francisco,119947.74,58569
57655,Rachael Ortiz,513-872-4816,Software Engineer,Chicago,115745.93,88220
63363,Robin Nguyen,412-988-7693,Software Engineer,San Francisco,148447.79,12325
14532,James Andrade,433-866-5493,Software Engineer,Austin,113736.75,64580
55200,Anna Simon,951-301-1408,Software Engineer,Remote,94088.0,72933
65532,Bryan Nguyen,321-607-9799,Software Engineer,San Francisco,145916.91,31028
10297,Jessica Wright,968-747-8626,Software Engineer,Chicago,112123.14,17452
15015,Roy Henderson,237-297-2493,Software Engineer,New York,118312.61,65047
22343,Luis Baker,541-481-1927,Software Engineer,Austin,126718.23,11325
27679,William Brown,711-349-9656,Software Engineer,San Francisco,141746.17,81754
20343,Savannah Burns,877-911-4880,Software Engineer,Remote,96284.83,26102
84676,Thomas Cruz,348-997-3404,Software Engineer,New York,107107.39,17570
64771,Jasmine Fleming,979-305-7705,Software Engineer,Remote,100357.17,22364
89436,Patrick Brown,516-300-3472,Software Engineer,New York,118992.68,21937
51081,Ricardo Hawkins,326-979-1220,Software Engineer,Chicago,123649.77,54240
18517,Ashley Shelton,408-575-8198,Software Engineer,Chicago,122799.0,61653
27277,John Murray,671-461-1365,Software Engineer,Austin,98330.72,95870
52062,Charles Martin Jr.,555-827-4485,Software Engineer,San Francisco,121361.89,49941
87632,Melanie Bell,952-420-7168,Software Engineer,Austin,112945.8,53818
86883,Johnny Perry,955-318-2382,Software Engineer,Austin,93634.99,88606
12346,Belinda Garcia,808-587-5959,Software Engineer,San Francisco,124840.17,55864
64968,Kimberly Burgess,371-343-2435,Software Engineer,Chicago,122423.13,88220
69134,Hannah Kelly,951-709-6692,Software Engineer,Austin,93128.49,59906
27580,Laura Ortiz,932-254-2684,Software Engineer,New York,136974.08,65047
73444,Samantha Washington,825-289-9392,Software Engineer,Chicago,127598.36,14030
46383,Jerry Kelley,471-745-1159,Software Engineer,Chicago,136483.21,81677
88673,Joseph Parrish,768-543-5634,Software Engineer,Remote,101185.69,35065
47976,Denise Jones,753-693-6925,Software Engineer,New York,139746.38,26102
37080,Connor Shepherd,745-413-7536,Software Engineer,San Francisco,128956.17,72933
74581,Rhonda Mcdaniel,684-886-4136,Software Engineer,Austin,109129.62,61653
79952,Monique Johnson,658-856-2778,Software Engineer,San Francisco,124226.93,96051
85457,Alexis Werner,938-301-7922,Software Engineer,San Francisco,136246.42,59119
12645,Ryan Lawrence,629-881-8248,Software Engineer,Remote,111127.16,71198
69398,Roger Lopez,345-795-3076,Software Engineer,San Francisco,125222.89,12801
64975,Gregory Johnson,766-636-4404,Software Engineer,New York,105135.31,34286
66976,Brianna Hampton,921-996-4196,Software Engineer,Chicago,96944.26,17452
99995,Kyle Hill,498-645-2318,Software Engineer,Austin,107611.95,68254
72923,Melinda Reynolds,242-757-6004,Software Engineer,Chicago,125599.9,75081
44744,Omar Lopez,788-345-3588,Software Engineer,New York,136701.7,65047
91727,Jennifer Allen,373-421-2633,Software Engineer,Remote,107959.31,71238
71783,Brandon Smith,223-238-3670,Software Engineer,Austin,121494.95,13406
31823,Paul Brown,264-440-6457,Software Engineer,San Francisco,129026.47,17570
26580,Dominique Andrews,883-595-3073,Software Engineer,San Francisco,129018.54,22364
79114,Joseph Collins,501-343-3480,Software Engineer,New York,121868.55,88071
88991,Carlos Carney MD,506-637-1671,Software Engineer,Austin,100518.63,18804
89645,Michele Moore,454-493-6036,Software Engineer,San Francisco,130344.59,69751
24548,Jennifer Washington,955-372-3411,Software Engineer,San Francisco,132717.4,39389
81793,Thomas Vargas,754-615-6311,Software Engineer,Chicago,110821.05,54213
46168,Scott Hernandez,714-783-5998,Software Engineer,New York,146940.84,78509
70008,Adam Powell,264-335-7081,Software Engineer,San Francisco,132982.04,73529
93363,Alexander Doyle,427-376-5737,Software Engineer,New York,134584.12,35065
79792,Charles Ochoa,242-805-5194,Software Engineer,Chicago,127794.54,38603
18217,Cynthia Stewart,868-852-6872,Software Engineer,San Francisco,135333.06,59522
46407,Angela Cook,872-989-9381,Software Engineer,San Francisco,136557.71,18653
90013,Ashley Hebert,869-906-8252,Software Engineer,New York,135376.61,95870
99641,Christopher Campbell,758-266-2069,Software Engineer,San Francisco,128619.54,51784
67379,Emily Johnson,504-496-2150,Software Engineer,Remote,83909.66,99361
65807,Chelsea Wilson,231-693-3141,Software Engineer,San Francisco,111542.33,25440
71060,Steven Ball,937-393-1905,Software Engineer,New York,121986.03,76189
12850,Lindsey Wiggins,949-696-4245,Software Engineer,Austin,95374.39,96051
87372,Robert Lewis,599-529-3319,Software Engineer,Chicago,121700.18,54213
78747,Kimberly Willis,902-549-7433,Software Engineer,New York,115424.89,76189
58974,Melissa Caldwell,908-522-7204,Software Engineer,San Francisco,141337.35,41711
46786,Christopher Freeman,491-759-6395,Software Engineer,New York,138831.02,76917
92593,Darren Ortiz DDS,377-803-5942,Software Engineer,San Francisco,113237.35,13406
46512,Dr. Elizabeth Alvarado DDS,575-781-2959,Software Engineer,Remote,103841.25,66609
52982,Garrett Horton,667-350-7904,Software Engineer,New York,122651.19,66609
78044,Travis Wright,559-523-6512,Software Engineer,Chicago,104547.09,55864
38524,Lacey Green,385-790-8702,Software Engineer,Chicago,113109.0,30268
58285,Karen Butler,338-914-1117,Software Engineer,Remote,80399.37,35065
60929,Christine Powell,430-878-1114,Software Engineer,Chicago,123122.54,55864
37560,Robert Frye,702-359-2865,Software Engineer,Remote,109066.67,59522
95109,John Peters,837-672-3318,Software Engineer,Remote,100059.55,18653
33786,Angel Jacobs,936-629-5981,Software Engineer,San Francisco,147342.73,12801
97545,Ryan Thompson,206-730-9657,Software Engineer,New York,138516.85,67419
80206,Kathleen Barnett,987-653-2767,Software Engineer,Austin,107101.14,88606
46607,Tyler Padilla,547-650-1363,Software Engineer,New York,132260.18,35548
99602,Jill Stone,511-922-4883,Software Engineer,Chicago,126365.1,88071
33048,Casey Williams,708-463-4910,Software Engineer,Austin,98426.35,29074
40496,Kathleen Foster,400-526-2167,Software Engineer,Chicago,108303.41,69751
96690,Debbie Sanchez,529-714-4275,Software Engineer,Chicago,135244.07,66609
28521,Melissa Garcia,769-900-1961,Software Engineer,Chicago,123236.71,41711
38976,Shannon Contreras,328-982-7325,Software Engineer,Chicago,107257.57,23215
43523,Michelle Hart,643-264-2189,Software Engineer,Remote,113777.63,16837
19174,Danielle Miller,693-434-1046,Software Engineer,Austin,109624.2,97218
57075,Martin Brown,941-362-6552,Software Engineer,Remote,93830.6,18804
70848,Trevor Freeman,354-645-2282,Software Engineer,New York,137469.25,41711
50908,William Massey,572-947-2339,Software Engineer,Chicago,106890.17,54767
43416,Anthony Williams,521-605-8440,Software Engineer,Austin,100010.89,72933
93900,Jessica Lee,849-479-1599,Software Engineer,Chicago,93162.0,99361
76017,Mark Mccarty,668-472-7777,Software Engineer,Chicago,133512.9,69751
89677,Belinda Castillo,899-651-4681,Software Engineer,New York,106189.35,58569
40540,Kathryn Hernandez,441-744-9497,Software Engineer,Austin,102534.42,76189
31171,Tyler Rogers,994-580-6646,Software Engineer,Remote,102474.17,17570
83972,Elizabeth Jones,368-512-9603,Software Engineer,Chicago,100332.6,49847
64659,Zachary Richard,271-462-6864,Software Engineer,New York,123903.6,97218
23837,Anthony Bowen,726-711-9558,Software Engineer,New York,142592.79,11335
96907,John Boyer,336-200-6870,Software Engineer,Chicago,91119.6,68254
99804,Norma Vargas,407-633-2886,Software Engineer,Austin,115703.15,22112
35826,Holly Duncan,681-289-6784,Software Engineer,San Francisco,124905.03,75081
16550,Jennifer Douglas,822-369-2906,Software Engineer,Austin,119717.33,54240
69417,Sylvia Sanders,331-259-6230,Software Engineer,New York,121602.76,11325
62223,Vicki Green,499-329-4768,Software Engineer,Chicago,105028.8,69751
80772,Richard Curtis,200-281-3089,Software Engineer,New York,111791.04,73031
68968,Julie Roth,759-652-3121,Software Engineer,Chicago,110461.96,35065
13637,Brandon White,632-369-4974,Software Engineer,Austin,116239.2,59522
71628,Carl Roberts,490-270-5159,Software Engineer,San Francisco,138231.49,49847
63145,John Martin,312-805-8077,Software Engineer,Chicago,122945.58,28596
31020,Juan Roman,904-453-5760,Software Engineer,Austin,108610.69,38995
29765,Kristen Martinez,323-981-7643,Software Engineer,New York,116789.51,89489
54440,Brent Rodriguez,490-385-6495,Software Engineer,Chicago,102395.02,54767
62504,Michael Fletcher,963-559-2097,Software Engineer,Austin,116034.7,64654
49433,Sean Little,862-984-2650,Software Engineer,New York,109708.97,46670
54672,Jason Mccormick,788-546-5013,Software Engineer,Remote,113550.04,22112
56044,Craig Robertson,471-546-4639,Software Engineer,San Francisco,153564.15,66954
98763,Eric Barry,658-970-9845,Software Engineer,Chicago,127785.97,33821
87048,Allison Hall,466-466-6915,Software Engineer,New York,120709.14,97218
62730,Stephanie Cook,417-223-4996,Software Engineer,Chicago,113735.63,29074
26318,Brian Perry,682-767-2727,Software Engineer,San Francisco,125696.24,35384
18757,Thomas Lopez,702-830-6620,Software Engineer,San Francisco,145039.1,81677
84349,Nicole Young,825-553-4661,Software Engineer,New York,117364.27,17452
36069,Andrew Meyer,280-675-8472,Software Engineer,San Francisco,137199.8,88606
36010,Eileen Murphy,883-601-1467,Software Engineer,Austin,127180.41,64580
23296,Carl Rogers,252-418-1802,Software Engineer,Remote,101444.99,26162
90767,Lori Miranda,719-353-8928,Software Engineer,New York,135921.36,54240
53220,Charlotte Campos,310-335-8112,Software Engineer,Chicago,106082.75,81527
69271,Christine Cochran,593-470-3273,Software Engineer,Chicago,106298.93,81416
85165,Jessica Bryant,474-494-8466,Software Engineer,New York,120493.44,30268
90373,Patricia Allen,260-874-1947,Software Engineer,New York,129022.93,74827
35658,Stephen Bates,786-788-8685,Software Engineer,Austin,110328.6,26102
77975,Kenneth Hoover,370-415-1917,Software Engineer,Remote,110772.64,33821
19401,Thomas Larsen,979-259-5328,Software Engineer,Remote,96697.91,51784
69186,Jessica Allen,565-456-2593,Software Engineer,Chicago,121927.94,26102
58720,Tara Jones MD,551-989-9299,Software Engineer,Austin,105567.44,21937
20390,Katrina Powers,241-724-7043,Software Engineer,Remote,110355.67,34286
49112,Sara White,516-651-1358,Software Engineer,San Francisco,141602.8,14030
81704,Pamela Harris,930-490-1990,Software Engineer,Austin,113128.07,99539
47266,Jonathon Green,459-391-7338,Software Engineer,Austin,109621.12,59906
40491,Michael Wallace,630-644-7628,Software Engineer,San Francisco,138506.98,73031
69539,Kristen Logan,766-719-8366,Software Engineer,Chicago,116447.51,66609
54460,Wendy Walker,540-697-6819,Software Engineer,San Francisco,138928.25,14262
68510,Monica Robinson,576-992-7715,Software Engineer,Austin,114403.51,96051
57301,James Santiago,285-294-1610,Software Engineer,Austin,109901.38,21937
66361,Samantha Bishop,862-237-5292,Software Engineer,Remote,121783.22,62353
45417,Edward Anderson,283-311-7431,Software Engineer,Chicago,123097.26,26434
92233,Ashley Kane,594-226-4042,Software Engineer,New York,126758.91,17452
65086,Joel Ramirez,936-684-7494,Software Engineer,Chicago,109925.45,88220
45997,Lori Guzman,740-755-9476,Product Manager,Chicago,148628.85,81527
91069,Lindsay Black,358-544-2046,Product Manager,San Francisco,145414.07,88606
36981,Kimberly Huynh,760-607-2119,Product Manager,Chicago,129022.43,59522
66643,Amy Baird,461-557-6337,Product Manager,San Francisco,136446.13,96051
84443,Karen Cross,810-708-9718,Product Manager,Chicago,119689.14,18893
23520,Amanda Brown,822-643-2427,Product Manager,San Francisco,152572.39,66395
11579,Zachary Martin,290-798-4791,Product Manager,Remote,118752.16,29074
71831,Anthony Foster,613-663-2983,Product Manager,New York,136724.44,35384
66697,Cheryl Fitzgerald,690-454-8301,Product Manager,San Francisco,140846.99,35384
78460,Brandy Wells,972-380-8908,Product Manager,New York,131131.15,38995
43376,Cheryl Weber,339-465-3262,Product Manager,New York,131875.74,62353
62649,Laura Lewis,315-788-6877,Product Manager,San Francisco,147334.85,64580
75702,Richard Byrd,572-712-6590,Product Manager,San Francisco,126744.05,55048
76865,James Henderson,974-459-5271,Product Manager,New York,149559.72,15599
66854,Stephen Myers,494-627-5109,Product Manager,Remote,108119.28,14262
75128,Joseph Peterson,406-975-3497,Product Manager,San Francisco,139248.06,26434
16712,Donald Crosby,939-952-8822,Product Manager,Chicago,128207.51,62672
17934,Thomas Riley,815-578-4882,Product Manager,San Francisco,134333.91,96051
98335,Adrian Gregory,725-245-3008,Product Manager,Chicago,124674.22,22112
13527,Timothy Lee,398-577-1554,Product Manager,Remote,106083.06,34286
38701,Stephen Moore,437-866-9480,Product Manager,New York,140887.32,39389
